       1  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00 -0.810445606509E+01  0.133084768627E+02  0.133084768627E+02  0.133084768627E+02  0.188977582075E+02  0.188977582075E+02  0.188977582075E+02  0.266851361483E+02
       2 -0.250000000000E+00  0.000000000000E+00 -0.250000000000E+00 -0.582416291128E+01  0.881856583477E+01  0.920032288099E+01  0.920032288099E+01  0.177745189760E+02  0.235958684463E+02  0.248669997854E+02  0.248669997854E+02
       3 -0.500000000000E+00  0.000000000000E+00 -0.500000000000E+00  0.592405128482E+00  0.592409858448E+00  0.702855227098E+01  0.702855227098E+01  0.181088244137E+02  0.181088293154E+02  0.300518314080E+02  0.300518314080E+02
       4 -0.500000000000E+00  0.125000000000E+00 -0.375000000000E+00  0.930078231638E+00  0.930083699010E+00  0.601809528232E+01  0.601809565044E+01  0.202104884107E+02  0.202104925714E+02  0.288284198327E+02  0.288284220562E+02
       5 -0.500000000000E+00  0.250000000000E+00 -0.250000000000E+00  0.138363158346E+01  0.138363727164E+01  0.501265960857E+01  0.501265986344E+01  0.239361794234E+02  0.239361817500E+02  0.256235975259E+02  0.256236074662E+02
       6 -0.250000000000E+00  0.375000000000E+00 -0.125000000000E+00 -0.132692699555E+01  0.985451451467E+00  0.702126400749E+01  0.863649197074E+01  0.216196075536E+02  0.227707771029E+02  0.263455271673E+02  0.281481416252E+02
       7  0.000000000000E+00  0.500000000000E+00  0.000000000000E+00 -0.233543232250E+01 -0.236328956510E-01  0.105164954119E+02  0.105164954119E+02  0.217665781133E+02  0.217665781133E+02  0.221989641298E+02  0.289907220046E+02
       8  0.000000000000E+00  0.250000000000E+00  0.000000000000E+00 -0.639241093478E+01  0.674548171616E+01  0.115685748485E+02  0.115685748485E+02  0.210899419594E+02  0.210899419594E+02  0.214724166570E+02  0.279458737655E+02
       9  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00 -0.810445606509E+01  0.133084768627E+02  0.133084768627E+02  0.133084768627E+02  0.188977582075E+02  0.188977582075E+02  0.188977582075E+02  0.266851361483E+02
      10 -0.250000000000E+00  0.250000000000E+00  0.000000000000E+00 -0.364461882358E+01  0.464463722776E+01  0.572883291607E+01  0.103061953452E+02  0.212573155906E+02  0.232977349632E+02  0.256529563935E+02  0.272258225813E+02
      11 -0.500000000000E+00  0.500000000000E+00  0.000000000000E+00  0.592405128482E+00  0.592409858448E+00  0.702855227098E+01  0.702855227098E+01  0.181088244137E+02  0.181088293154E+02  0.300518314080E+02  0.300518314080E+02
      12 -0.437500000000E+00  0.437500000000E+00  0.000000000000E+00  0.675829040156E+00  0.850483812857E+00  0.576793476067E+01  0.726790394358E+01  0.183413646056E+02  0.200065845739E+02  0.293668288504E+02  0.297102041132E+02
      13 -0.375000000000E+00  0.375000000000E+00  0.000000000000E+00  0.383091421332E+00  0.162128652280E+01  0.402131010415E+01  0.796092700606E+01  0.190215932737E+02  0.240628110680E+02  0.276313126073E+02  0.289033693716E+02
      14 -0.187500000000E+00  0.437500000000E+00  0.000000000000E+00 -0.157709058267E+01  0.745149409181E+00  0.746292616377E+01  0.938588927836E+01  0.204961922180E+02  0.241382366416E+02  0.250566627563E+02  0.282383501014E+02
      15  0.000000000000E+00  0.500000000000E+00  0.000000000000E+00 -0.233543232250E+01 -0.236328956510E-01  0.105164954119E+02  0.105164954119E+02  0.217665781133E+02  0.217665781133E+02  0.221989641298E+02  0.289907220046E+02
