       1  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.574843881829E+01  0.126689573376E+02  0.126689573376E+02  0.126689573376E+02  0.139661751377E+02  0.139661751377E+02  0.398707169913E+02  0.442691890382E+02  0.442691890382E+02
       2  0.156250000000E-01  0.000000000000E+00  0.156250000000E-01  0.576207969013E+01  0.126636918626E+02  0.126729971086E+02  0.126729971086E+02  0.139612916755E+02  0.139680504212E+02  0.398474264399E+02  0.441532815203E+02  0.441532815203E+02
       3  0.312500000000E-01  0.000000000000E+00  0.312500000000E-01  0.580292557432E+01  0.126479607064E+02  0.126851030802E+02  0.126851030802E+02  0.139467165021E+02  0.139736560126E+02  0.397793906777E+02  0.438379673647E+02  0.438379673647E+02
       4  0.468750000000E-01  0.000000000000E+00  0.468750000000E-01  0.587080971971E+01  0.126219613725E+02  0.127052384578E+02  0.127052384578E+02  0.139226889440E+02  0.139829445669E+02  0.396716774564E+02  0.433873988476E+02  0.433873988476E+02
       5  0.625000000000E-01  0.000000000000E+00  0.625000000000E-01  0.596543830507E+01  0.125860179831E+02  0.127333404439E+02  0.127333404439E+02  0.138896146113E+02  0.139958348830E+02  0.395314270769E+02  0.428551575272E+02  0.428551575272E+02
       6  0.781250000000E-01  0.000000000000E+00  0.781250000000E-01  0.608638433237E+01  0.125405749589E+02  0.127693184146E+02  0.127693184146E+02  0.138480780333E+02  0.140122148611E+02  0.393665390579E+02  0.422754816864E+02  0.422754816864E+02
       7  0.937500000000E-01  0.000000000000E+00  0.937500000000E-01  0.623306947058E+01  0.124861880568E+02  0.128130510301E+02  0.128130510301E+02  0.137988619433E+02  0.140319406422E+02  0.391846260339E+02  0.416689284012E+02  0.416689284012E+02
       8  0.109375000000E+00  0.000000000000E+00  0.109375000000E+00  0.640474123681E+01  0.124235135645E+02  0.128643833484E+02  0.128643833484E+02  0.137429729471E+02  0.140548384551E+02  0.389923957167E+02  0.410482387058E+02  0.410482387058E+02
       9  0.125000000000E+00  0.000000000000E+00  0.125000000000E+00  0.660043729815E+01  0.123532959395E+02  0.129231225929E+02  0.129231225929E+02  0.136816763967E+02  0.140807054976E+02  0.387954071709E+02  0.404217530848E+02  0.404217530848E+02
      10  0.140625000000E+00  0.000000000000E+00  0.140625000000E+00  0.681893636692E+01  0.122763543951E+02  0.129890334341E+02  0.129890334341E+02  0.136165435609E+02  0.141093112624E+02  0.385980696948E+02  0.397952762517E+02  0.397952762517E+02
      11  0.156250000000E+00  0.000000000000E+00  0.156250000000E+00  0.705868974287E+01  0.121935688343E+02  0.130618326246E+02  0.130618326246E+02  0.135495156670E+02  0.141403990250E+02  0.384037642282E+02  0.391730901190E+02  0.391730901190E+02
      12  0.171875000000E+00  0.000000000000E+00  0.171875000000E+00  0.731772635638E+01  0.121058656562E+02  0.131411830970E+02  0.131411830970E+02  0.134829914250E+02  0.141736877069E+02  0.382150081283E+02  0.385585246623E+02  0.385585246623E+02
      13  0.187500000000E+00  0.000000000000E+00  0.187500000000E+00  0.759352343258E+01  0.120142043057E+02  0.132266875482E+02  0.132266875482E+02  0.134199463954E+02  0.142088738119E+02  0.379543460340E+02  0.379543460340E+02  0.380337119318E+02
      14  0.203125000000E+00  0.000000000000E+00  0.203125000000E+00  0.788282641999E+01  0.119195614944E+02  0.133178814716E+02  0.133178814716E+02  0.133640930952E+02  0.142456337750E+02  0.373627614236E+02  0.373627614236E+02  0.378609661523E+02
      15  0.218750000000E+00  0.000000000000E+00  0.218750000000E+00  0.818142845268E+01  0.118229212213E+02  0.133200873612E+02  0.134142262683E+02  0.134142262683E+02  0.142836263204E+02  0.367857872046E+02  0.367857872046E+02  0.376976632651E+02
      16  0.234375000000E+00  0.000000000000E+00  0.234375000000E+00  0.848390406769E+01  0.117252627142E+02  0.132937685028E+02  0.135151019692E+02  0.135151019692E+02  0.143224956256E+02  0.362254623497E+02  0.362254623497E+02  0.372216975771E+02
      17  0.250000000000E+00  0.000000000000E+00  0.250000000000E+00  0.878335412115E+01  0.116275479958E+02  0.132923777702E+02  0.136198004703E+02  0.136198004703E+02  0.143618738564E+02  0.356834585693E+02  0.356834585693E+02  0.364564099446E+02
      18  0.265625000000E+00  0.000000000000E+00  0.265625000000E+00  0.907131935864E+01  0.115307141559E+02  0.133246087843E+02  0.137275191290E+02  0.137275191290E+02  0.144013846748E+02  0.351614772506E+02  0.351614772506E+02  0.356453671870E+02
      19  0.281250000000E+00  0.000000000000E+00  0.281250000000E+00  0.933813162686E+01  0.114356649961E+02  0.134002149786E+02  0.138373557086E+02  0.138373557086E+02  0.144406466874E+02  0.346612082238E+02  0.346612082238E+02  0.347991789349E+02
      20  0.296875000000E+00  0.000000000000E+00  0.296875000000E+00  0.957398439329E+01  0.113432636202E+02  0.135288338972E+02  0.139483037936E+02  0.139483037936E+02  0.144792770329E+02  0.339290442887E+02  0.341842659760E+02  0.341842659760E+02
      21  0.312500000000E+00  0.000000000000E+00  0.312500000000E+00  0.977093540281E+01  0.112543278312E+02  0.137179733084E+02  0.140592536693E+02  0.140592536693E+02  0.145168953198E+02  0.330465115705E+02  0.337324425427E+02  0.337324425427E+02
      22  0.328125000000E+00  0.000000000000E+00  0.328125000000E+00  0.992493944034E+01  0.111696243160E+02  0.139708031585E+02  0.141689930599E+02  0.141689930599E+02  0.145531274483E+02  0.321612768104E+02  0.333074219347E+02  0.333074219347E+02
