       1  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00 -0.219439615956E+02 -0.102856957636E+02 -0.568600659109E+01 -0.566836121732E+01  0.790941296708E+00  0.173109221600E+01  0.199640530830E+01  0.295769341299E+01
       2  0.104165625000E-01  0.104165625000E-01  0.000000000000E+00 -0.219363034568E+02 -0.102764286979E+02 -0.571493730098E+01 -0.568753506283E+01  0.801346613977E+00  0.174169310791E+01  0.200715626660E+01  0.296831952882E+01
       3  0.208331250000E-01  0.208331250000E-01  0.000000000000E+00 -0.219133332690E+02 -0.102486381675E+02 -0.580524330455E+01 -0.573992172878E+01  0.832565162524E+00  0.177349302942E+01  0.203940954538E+01  0.300019568060E+01
       4  0.312496875000E-01  0.312496875000E-01  0.000000000000E+00 -0.218750608563E+02 -0.102023559165E+02 -0.595330487564E+01 -0.582452071117E+01  0.884604523705E+00  0.182648368297E+01  0.209316636556E+01  0.305331523118E+01
       5  0.416662500000E-01  0.416662500000E-01  0.000000000000E+00 -0.218215061622E+02 -0.101376348653E+02 -0.615259386686E+01 -0.594089494399E+01  0.957475080503E+00  0.190065090175E+01  0.216842852625E+01  0.312766687382E+01
       6  0.520828125000E-01  0.520828125000E-01  0.000000000000E+00 -0.217526949276E+02 -0.100545513228E+02 -0.639600607278E+01 -0.608768676053E+01  0.105118755676E+01  0.199597390845E+01  0.226519815428E+01  0.322323403693E+01
       7  0.624993750000E-01  0.624993750000E-01  0.000000000000E+00 -0.216686619475E+02 -0.995320522493E+01 -0.667622134884E+01 -0.626305576621E+01  0.116575053402E+01  0.211242450425E+01  0.238347743710E+01  0.333999425795E+01
       8  0.729159375000E-01  0.729159375000E-01  0.000000000000E+00 -0.215694507385E+02 -0.983372185835E+01 -0.698618111903E+01 -0.646484197844E+01  0.130116741020E+01  0.224996572130E+01  0.252326830099E+01  0.347791812745E+01
       9  0.833325000000E-01  0.833325000000E-01  0.000000000000E+00 -0.214551130066E+02 -0.969625503822E+01 -0.731942309602E+01 -0.669065596650E+01  0.145743452725E+01  0.240854989476E+01  0.268457217734E+01  0.363696780160E+01
      10  0.937490625000E-01  0.937490625000E-01  0.000000000000E+00 -0.213257110527E+02 -0.954098865449E+01 -0.767024082652E+01 -0.693795596836E+01  0.163453929934E+01  0.258811618522E+01  0.286738980810E+01  0.381709506786E+01
      11  0.104165625000E+00  0.104165625000E+00  0.000000000000E+00 -0.211813201631E+02 -0.936814100329E+01 -0.803371721677E+01 -0.720411782988E+01  0.183245907497E+01  0.278858692344E+01  0.307172114344E+01  0.401823849425E+01
      12  0.114582187500E+00  0.114582187500E+00  0.000000000000E+00 -0.210220268821E+02 -0.917796856848E+01 -0.840568377049E+01 -0.748650170324E+01  0.205115965498E+01  0.300986258478E+01  0.329756515883E+01  0.424031953283E+01
      13  0.124998750000E+00  0.124998750000E+00  0.000000000000E+00 -0.208479294986E+02 -0.897077164077E+01 -0.878264182103E+01 -0.778250267450E+01  0.229059493128E+01  0.325181460877E+01  0.354491988757E+01  0.448323688771E+01
      14  0.135415312500E+00  0.135415312500E+00  0.000000000000E+00 -0.206591450079E+02 -0.916167447024E+01 -0.874689962618E+01 -0.808959617979E+01  0.255070437216E+01  0.351427498054E+01  0.381378221419E+01  0.474685816272E+01
      15  0.145831875000E+00  0.145831875000E+00  0.000000000000E+00 -0.204558086690E+02 -0.954035221256E+01 -0.850675875876E+01 -0.840536516081E+01  0.283141148720E+01  0.379702070219E+01  0.410414779272E+01  0.468305943608E+01
      16  0.156248437500E+00  0.156248437500E+00  0.000000000000E+00 -0.202380762616E+02 -0.991665562750E+01 -0.872752347234E+01 -0.825082084398E+01  0.313262055699E+01  0.409974759686E+01  0.422275858962E+01  0.441601082498E+01
      17  0.166665000000E+00  0.166665000000E+00  0.000000000000E+00 -0.200061298157E+02 -0.102889044028E+02 -0.905392607973E+01 -0.797963388029E+01  0.345421221975E+01  0.375956642788E+01  0.442204926534E+01  0.474936377093E+01
      18  0.177081562500E+00  0.177081562500E+00  0.000000000000E+00 -0.197601784068E+02 -0.106556960891E+02 -0.938257132170E+01 -0.769383472492E+01  0.329609082023E+01  0.379603783379E+01  0.476332091558E+01  0.510419692919E+01
      19  0.187498125000E+00  0.187498125000E+00  0.000000000000E+00 -0.195004742846E+02 -0.110158615733E+02 -0.971159813268E+01 -0.739416369246E+01  0.283463217104E+01  0.415790879887E+01  0.512269791253E+01  0.548049763690E+01
      20  0.197914687500E+00  0.197914687500E+00  0.000000000000E+00 -0.192273087934E+02 -0.113684200375E+02 -0.100392734142E+02 -0.708148198772E+01  0.237723240601E+01  0.453958600367E+01  0.549885393937E+01  0.587824938240E+01
      21  0.208331250000E+00  0.208331250000E+00  0.000000000000E+00 -0.189410347819E+02 -0.117125489889E+02 -0.103639799856E+02 -0.675679423908E+01  0.192569073561E+01  0.494075841989E+01  0.588967384370E+01  0.629743002046E+01
      22  0.218747812500E+00  0.218747812500E+00  0.000000000000E+00 -0.186420801921E+02 -0.120475563582E+02 -0.106841903550E+02 -0.642127100920E+01  0.148159607993E+01  0.536101635939E+01  0.629160435024E+01  0.673800926333E+01
      23  0.229164375000E+00  0.229164375000E+00  0.000000000000E+00 -0.183309705211E+02 -0.123728594449E+02 -0.109984418434E+02 -0.607627875474E+01  0.104634233598E+01  0.579980610414E+01  0.669832419064E+01  0.719994407776E+01
