       1  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00 -0.345053567216E+01  0.125034025407E+02  0.125034025407E+02  0.125034025407E+02  0.131376932398E+02  0.131376932398E+02  0.131376932398E+02  0.131450110502E+02
       2  0.100000000000E-01 -0.100000000000E-01 -0.100000000000E-01 -0.344721411403E+01  0.123655384770E+02  0.123655384770E+02  0.125067637355E+02  0.128311594345E+02  0.129450880555E+02  0.131610210888E+02  0.131610210888E+02
       3  0.200000000000E-01 -0.200000000000E-01 -0.200000000000E-01 -0.343724711838E+01  0.120978517564E+02  0.120978517564E+02  0.125054190705E+02  0.125168473183E+02  0.127430523702E+02  0.131733210351E+02  0.131733210351E+02
       4  0.300000000000E-01 -0.300000000000E-01 -0.300000000000E-01 -0.342063382647E+01  0.118027848760E+02  0.118027848760E+02  0.121862140600E+02  0.125336532833E+02  0.125360932410E+02  0.131904782808E+02  0.131904782808E+02
       5  0.400000000000E-01 -0.400000000000E-01 -0.400000000000E-01 -0.339737607043E+01  0.115032061078E+02  0.115032061078E+02  0.118736811918E+02  0.123251830313E+02  0.125571816215E+02  0.132140460317E+02  0.132140460317E+02
       6  0.500000000000E-01 -0.500000000000E-01 -0.500000000000E-01 -0.336747471617E+01  0.112054564671E+02  0.112054564671E+02  0.115678488713E+02  0.121112935409E+02  0.125874323197E+02  0.132442224889E+02  0.132442224889E+02
       7  0.600000000000E-01 -0.600000000000E-01 -0.600000000000E-01 -0.333093089053E+01  0.109118844481E+02  0.109118844481E+02  0.112687267489E+02  0.118953661245E+02  0.126244053610E+02  0.132810563989E+02  0.132810563989E+02
       8  0.700000000000E-01 -0.700000000000E-01 -0.700000000000E-01 -0.328774413961E+01  0.106235463368E+02  0.106235463368E+02  0.109763191003E+02  0.116782919499E+02  0.126681007243E+02  0.133245642258E+02  0.133245642258E+02
       9  0.800000000000E-01 -0.800000000000E-01 -0.800000000000E-01 -0.323792121441E+01  0.103409840898E+02  0.103409840898E+02  0.106906280442E+02  0.114608698643E+02  0.127185183823E+02  0.133747506731E+02  0.133747506731E+02
      10  0.900000000000E-01 -0.900000000000E-01 -0.900000000000E-01 -0.318145404654E+01  0.100645078904E+02  0.100645078904E+02  0.104116553331E+02  0.112438755130E+02  0.127756598594E+02  0.134316240136E+02  0.134316240136E+02
      11  0.100000000000E+00 -0.100000000000E+00 -0.100000000000E+00 -0.311835795949E+01  0.979429740595E+01  0.979429740595E+01  0.101394014037E+02  0.110279601856E+02  0.128395220135E+02  0.134951767448E+02  0.134951767448E+02
      12  0.110000000000E+00 -0.110000000000E+00 -0.110000000000E+00 -0.304862509155E+01  0.953047823699E+01  0.953047823699E+01  0.987386708913E+01  0.108137290552E+02  0.129101094339E+02  0.135654153483E+02  0.135654153483E+02
      13  0.120000000000E+00 -0.120000000000E+00 -0.120000000000E+00 -0.297226777487E+01  0.927312429514E+01  0.927312429514E+01  0.961505015149E+01  0.106016992205E+02  0.129874158990E+02  0.136423319703E+02  0.136423319703E+02
      14  0.130000000000E+00 -0.130000000000E+00 -0.130000000000E+00 -0.288928313080E+01  0.902229469144E+01  0.902229469144E+01  0.936295617627E+01  0.103923467172E+02  0.130714444878E+02  0.137259346508E+02  0.137259346508E+02
      15  0.140000000000E+00 -0.140000000000E+00 -0.140000000000E+00 -0.279967632712E+01  0.877802943531E+01  0.877802943531E+01  0.911758288420E+01  0.101860734794E+02  0.131621951209E+02  0.138162180396E+02  0.138162180396E+02
