       1  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00 -0.709298299254E+01 -0.137615939917E+00 -0.137615939916E+00 -0.137615939916E+00  0.418434348776E+00  0.418434348777E+00  0.636359547891E+01  0.636359547891E+01  0.636359547891E+01
       2  0.156250000000E-01  0.000000000000E+00  0.156250000000E-01 -0.709027611353E+01 -0.138078705509E+00 -0.136938668417E+00 -0.136938668417E+00  0.418111254335E+00  0.418641815494E+00  0.633765022065E+01  0.635576666604E+01  0.635576666604E+01
       3  0.312500000000E-01  0.000000000000E+00  0.312500000000E-01 -0.708216980624E+01 -0.139460686133E+00 -0.134917222496E+00 -0.134917222496E+00  0.417136802271E+00  0.419254548160E+00  0.626346569026E+01  0.633246619876E+01  0.633246619876E+01
       4  0.468750000000E-01  0.000000000000E+00  0.468750000000E-01 -0.706870663566E+01 -0.141734515933E+00 -0.131552664635E+00 -0.131552664635E+00  0.415530130550E+00  0.420266961243E+00  0.614997415058E+01  0.629429740921E+01  0.629429740921E+01
       5  0.625000000000E-01  0.000000000000E+00  0.625000000000E-01 -0.704995606617E+01 -0.144854463177E+00 -0.126855785268E+00 -0.126855785268E+00  0.413319386663E+00  0.421668896013E+00  0.600742585900E+01  0.624219448512E+01  0.624219448512E+01
       6  0.781250000000E-01  0.000000000000E+00  0.781250000000E-01 -0.702601879209E+01 -0.148757125896E+00 -0.120837599177E+00 -0.120837599177E+00  0.410546131959E+00  0.423447971852E+00  0.584469958235E+01  0.617736493745E+01  0.617736493745E+01
       7  0.937500000000E-01  0.000000000000E+00  0.937500000000E-01 -0.699702768584E+01 -0.153361510942E+00 -0.113513541959E+00 -0.113513541959E+00  0.407268078911E+00  0.425588289137E+00  0.566850667897E+01  0.610120073933E+01  0.610120073933E+01
       8  0.109375000000E+00  0.000000000000E+00  0.109375000000E+00 -0.696314064212E+01 -0.158572978075E+00 -0.104907671629E+00 -0.104907671629E+00  0.403548897492E+00  0.428067312153E+00  0.548361339318E+01  0.601519882572E+01  0.601519882572E+01
       9  0.125000000000E+00  0.000000000000E+00  0.125000000000E+00 -0.692455388042E+01 -0.164279907779E+00 -0.950454724158E-01 -0.950454724158E-01  0.399479056741E+00  0.430862184101E+00  0.529332144121E+01  0.592089490851E+01  0.592089490851E+01
      10  0.140625000000E+00  0.000000000000E+00  0.140625000000E+00 -0.688149134240E+01 -0.170359499034E+00 -0.839616479417E-01 -0.839616479417E-01  0.395158725120E+00  0.433946865393E+00  0.509991262004E+01  0.581980653379E+01  0.581980653379E+01
      11  0.156250000000E+00  0.000000000000E+00  0.156250000000E+00 -0.683421582350E+01 -0.176676949918E+00 -0.717005801944E-01 -0.717005801944E-01  0.390715115936E+00  0.437290288572E+00  0.490497165646E+01  0.571338719875E+01  0.571338719875E+01
      12  0.171875000000E+00  0.000000000000E+00  0.171875000000E+00 -0.678302914532E+01 -0.183087635310E+00 -0.583101352114E-01 -0.583101352113E-01  0.386297738788E+00  0.440862136849E+00  0.470961519034E+01  0.560301492711E+01  0.560301492711E+01
      13  0.187500000000E+00  0.000000000000E+00  0.187500000000E+00 -0.672826548086E+01 -0.189443704449E+00 -0.438550346084E-01 -0.438550346083E-01  0.382074264617E+00  0.444626248543E+00  0.451464871089E+01  0.548996860945E+01  0.548996860945E+01
      14  0.203125000000E+00  0.000000000000E+00  0.203125000000E+00 -0.667030656689E+01 -0.195593265663E+00 -0.284093747371E-01 -0.284093747370E-01  0.378243701583E+00  0.448547324312E+00  0.432066835740E+01  0.537542681704E+01  0.537542681704E+01
      15  0.218750000000E+00  0.000000000000E+00  0.218750000000E+00 -0.660956879459E+01 -0.201388083045E+00 -0.120579382015E-01 -0.120579382014E-01  0.375033938247E+00  0.452587473240E+00  0.412814721365E+01  0.526048132266E+01  0.526048132266E+01
      16  0.234375000000E+00  0.000000000000E+00  0.234375000000E+00 -0.654651664166E+01 -0.206687728081E+00  0.509458133376E-02  0.509458133383E-02  0.372698742864E+00  0.456707538937E+00  0.393747749706E+01  0.514612480116E+01  0.514612480116E+01
      17  0.250000000000E+00  0.000000000000E+00  0.250000000000E+00 -0.648166050663E+01 -0.211361559443E+00  0.229332922214E-01  0.229332922215E-01  0.371535813027E+00  0.460870930493E+00  0.374902533019E+01  0.503327483897E+01  0.503327483897E+01
      18  0.265625000000E+00  0.000000000000E+00  0.265625000000E+00 -0.641554732354E+01 -0.215310391480E+00  0.413162599349E-01  0.413162599350E-01  0.371854893585E+00  0.465029566098E+00  0.356314326083E+01  0.492277231457E+01  0.492277231457E+01
      19  0.281250000000E+00  0.000000000000E+00  0.281250000000E+00 -0.634877902238E+01 -0.218450564515E+00  0.600953535951E-01  0.600953535952E-01  0.374018537019E+00  0.469151395674E+00  0.338022285305E+01  0.481540267779E+01  0.481540267779E+01
      20  0.296875000000E+00  0.000000000000E+00  0.296875000000E+00 -0.628199299057E+01 -0.220737963507E+00  0.790951889822E-01  0.790951889823E-01  0.378402539118E+00  0.473193931707E+00  0.320069917217E+01  0.471189361889E+01  0.471189361889E+01
      21  0.312500000000E+00  0.000000000000E+00  0.312500000000E+00 -0.621586614590E+01 -0.222166063102E+00  0.981243546812E-01  0.981243546813E-01  0.385410114754E+00  0.477117577548E+00  0.302507953231E+01  0.461292978274E+01  0.461292978274E+01
      22  0.328125000000E+00  0.000000000000E+00  0.328125000000E+00 -0.615111606915E+01 -0.222771353545E+00  0.116971850657E+00  0.116971850657E+00  0.395435710223E+00  0.480886332742E+00  0.285395330229E+01  0.451915229393E+01  0.451915229393E+01
