       1  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00 -0.219439592150E+02 -0.102856938144E+02 -0.568600390225E+01 -0.566835854907E+01  0.790941979994E+00  0.173109256802E+01  0.199640506228E+01  0.295769340502E+01
       2  0.104165625000E-01  0.104165625000E-01  0.000000000000E+00 -0.219363012282E+02 -0.102764267374E+02 -0.571493459024E+01 -0.568753236957E+01  0.801347288211E+00  0.174169346096E+01  0.200715601980E+01  0.296831952153E+01
       3  0.208331250000E-01  0.208331250000E-01  0.000000000000E+00 -0.219133308364E+02 -0.102486362216E+02 -0.580524063030E+01 -0.573991906765E+01  0.832565849475E+00  0.177349338168E+01  0.203940929957E+01  0.300019567221E+01
       4  0.312496875000E-01  0.312496875000E-01  0.000000000000E+00 -0.218750589915E+02 -0.102023539278E+02 -0.595330213559E+01 -0.582451796057E+01  0.884605177383E+00  0.182648403930E+01  0.209316611693E+01  0.305331522530E+01
       5  0.416662500000E-01  0.416662500000E-01  0.000000000000E+00 -0.218215037611E+02 -0.101376329153E+02 -0.615259119872E+01 -0.594089228224E+01  0.957475767104E+00  0.190065125590E+01  0.216842828016E+01  0.312766686507E+01
       6  0.520828125000E-01  0.520828125000E-01  0.000000000000E+00 -0.217526925727E+02 -0.100545493681E+02 -0.639600340803E+01 -0.608768409557E+01  0.105118824181E+01  0.199597426418E+01  0.226519790788E+01  0.322323402802E+01
       7  0.624993750000E-01  0.624993750000E-01  0.000000000000E+00 -0.216686595237E+02 -0.995320327377E+01 -0.667621869456E+01 -0.626305311697E+01  0.116575122444E+01  0.211242486121E+01  0.238347719091E+01  0.333999424823E+01
       8  0.729159375000E-01  0.729159375000E-01  0.000000000000E+00 -0.215694478841E+02 -0.983371993803E+01 -0.698617846638E+01 -0.646483940008E+01  0.130116812658E+01  0.224996607760E+01  0.252326805657E+01  0.347791811503E+01
       9  0.833325000000E-01  0.833325000000E-01  0.000000000000E+00 -0.214551104592E+02 -0.969625309242E+01 -0.731942044817E+01 -0.669065334738E+01  0.145743522791E+01  0.240855025534E+01  0.268457193139E+01  0.363696779003E+01
      10  0.937490625000E-01  0.937490625000E-01  0.000000000000E+00 -0.213257092252E+02 -0.954098665027E+01 -0.767023824770E+01 -0.693795325337E+01  0.163453996257E+01  0.258811655326E+01  0.286738955901E+01  0.381709505915E+01
      11  0.104165625000E+00  0.104165625000E+00  0.000000000000E+00 -0.211813182370E+02 -0.936813900333E+01 -0.803371465673E+01 -0.720411513934E+01  0.183245974635E+01  0.278858729428E+01  0.307172089464E+01  0.401823848418E+01
      12  0.114582187500E+00  0.114582187500E+00  0.000000000000E+00 -0.210220242630E+02 -0.917796662006E+01 -0.840568111362E+01 -0.748649911257E+01  0.205116036562E+01  0.300986295497E+01  0.329756491251E+01  0.424031951818E+01
      13  0.124998750000E+00  0.124998750000E+00  0.000000000000E+00 -0.208479270116E+02 -0.897076967821E+01 -0.878263919192E+01 -0.778250007424E+01  0.229059563759E+01  0.325181498447E+01  0.354491964052E+01  0.448323687262E+01
      14  0.135415312500E+00  0.135415312500E+00  0.000000000000E+00 -0.206591430216E+02 -0.916167197968E+01 -0.874689761827E+01 -0.808959353183E+01  0.255070505636E+01  0.351427536528E+01  0.381378196519E+01  0.474685814909E+01
      15  0.145831875000E+00  0.145831875000E+00  0.000000000000E+00 -0.204558067536E+02 -0.954034977042E+01 -0.850675673970E+01 -0.840536251824E+01  0.283141217176E+01  0.379702109404E+01  0.410414754332E+01  0.468306178433E+01
      16  0.156248437500E+00  0.156248437500E+00  0.000000000000E+00 -0.202380744188E+02 -0.991665324087E+01 -0.872752083678E+01 -0.825081881286E+01  0.313262124242E+01  0.409974799722E+01  0.422276093525E+01  0.441601057520E+01
      17  0.166665000000E+00  0.166665000000E+00  0.000000000000E+00 -0.200061271893E+02 -0.102889017337E+02 -0.905392352019E+01 -0.797963191167E+01  0.345421294556E+01  0.375956863342E+01  0.442204966875E+01  0.474936352318E+01
