       1  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00 -0.169514849320E+02 -0.169514849320E+02 -0.169514849320E+02 -0.169199493070E+02 -0.169199493070E+02 -0.167360755404E+02 -0.167360755404E+02 -0.167360755404E+02 -0.167275890853E+02 -0.167275890853E+02 -0.457328290326E+01  0.735594863158E+01  0.779956875212E+01  0.779956875212E+01  0.779956875212E+01  0.103325269170E+02  0.103325269170E+02  0.103325269170E+02
       2 -0.250000000000E+00  0.000000000000E+00 -0.250000000000E+00 -0.169675758957E+02 -0.169675758957E+02 -0.169561071601E+02 -0.168906302653E+02 -0.168603716933E+02 -0.168119200231E+02 -0.167546477381E+02 -0.167156860845E+02 -0.167117199875E+02 -0.167117199875E+02 -0.361505581235E+01  0.306016133823E+01  0.589273219191E+01  0.589273219191E+01  0.886553287778E+01  0.104069726271E+02  0.134314423577E+02  0.134314423577E+02
       3 -0.500000000000E+00  0.000000000000E+00 -0.500000000000E+00 -0.169813611128E+02 -0.169813611128E+02 -0.169052380827E+02 -0.169052380827E+02 -0.168215095174E+02 -0.168215095174E+02 -0.167714152209E+02 -0.167714152209E+02 -0.166895633126E+02 -0.166895633126E+02 -0.891939979226E+00 -0.891939979226E+00  0.491032700739E+01  0.491032700739E+01  0.861831797523E+01  0.861831797523E+01  0.168741530831E+02  0.168741530831E+02
       4 -0.500000000000E+00  0.125000000000E+00 -0.375000000000E+00 -0.169877924824E+02 -0.169877924731E+02 -0.168890290808E+02 -0.168890289096E+02 -0.168228926852E+02 -0.168228918368E+02 -0.167854374585E+02 -0.167854372854E+02 -0.166839455038E+02 -0.166839454940E+02 -0.851570250720E+00 -0.851569578024E+00  0.448179977846E+01  0.448179978470E+01  0.974055414386E+01  0.974055428155E+01  0.151227245072E+02  0.151227246056E+02
       5 -0.500000000000E+00  0.250000000000E+00 -0.250000000000E+00 -0.169929695089E+02 -0.169929695000E+02 -0.168690969862E+02 -0.168690968122E+02 -0.168277153432E+02 -0.168277148337E+02 -0.168000387984E+02 -0.168000386246E+02 -0.166792881152E+02 -0.166792881055E+02 -0.809366612413E+00 -0.809366201598E+00  0.414573006969E+01  0.414573007998E+01  0.119159767807E+02  0.119159768642E+02  0.124847997780E+02  0.124847998480E+02
       6 -0.250000000000E+00  0.375000000000E+00 -0.125000000000E+00 -0.169912239365E+02 -0.169811136079E+02 -0.169088389613E+02 -0.168661030505E+02 -0.168544406370E+02 -0.168065376161E+02 -0.167882583780E+02 -0.167697581907E+02 -0.166918772351E+02 -0.166825271369E+02 -0.212501518456E+01  0.333316567473E+00  0.427879182058E+01  0.563517636826E+01  0.100353218740E+02  0.112086523884E+02  0.133997806145E+02  0.145068985792E+02
       7  0.000000000000E+00  0.500000000000E+00  0.000000000000E+00 -0.169729282931E+02 -0.169729282931E+02 -0.169356465906E+02 -0.168835419293E+02 -0.168835419293E+02 -0.167686072167E+02 -0.167686072167E+02 -0.167539380710E+02 -0.167017011362E+02 -0.167017011362E+02 -0.261391816428E+01  0.436299683824E+00  0.647711079836E+01  0.647711079836E+01  0.782840889526E+01  0.115143105823E+02  0.115143105823E+02  0.149285334718E+02
       8  0.000000000000E+00  0.250000000000E+00  0.000000000000E+00 -0.169672482343E+02 -0.169672482343E+02 -0.169437356560E+02 -0.168953675009E+02 -0.168953675009E+02 -0.167602043348E+02 -0.167602043348E+02 -0.167448096454E+02 -0.167081181816E+02 -0.167081181816E+02 -0.387058337833E+01  0.313992011102E+01  0.697331404845E+01  0.697331404845E+01  0.830083879110E+01  0.113647953067E+02  0.113647953067E+02  0.131400502889E+02
       9  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00 -0.169514849320E+02 -0.169514849320E+02 -0.169514849320E+02 -0.169199493070E+02 -0.169199493070E+02 -0.167360755404E+02 -0.167360755404E+02 -0.167360755404E+02 -0.167275890853E+02 -0.167275890853E+02 -0.457328290326E+01  0.735594863158E+01  0.779956875212E+01  0.779956875212E+01  0.779956875212E+01  0.103325269170E+02  0.103325269170E+02  0.103325269170E+02
      10 -0.250000000000E+00  0.250000000000E+00  0.000000000000E+00 -0.169869144815E+02 -0.169803579510E+02 -0.169128972806E+02 -0.168815404238E+02 -0.168583240635E+02 -0.167959003876E+02 -0.167776627002E+02 -0.167686199093E+02 -0.166921704658E+02 -0.166887255384E+02 -0.279238135829E+01  0.136818291150E+01  0.417421997168E+01  0.638618740330E+01  0.965469644677E+01  0.124722024930E+02  0.127334827416E+02  0.129544966980E+02
